Patient,Method,Error_Message,MASE,Chi2,NSE,KGE,FitTime,ParamChange,TrajectoryConvergenceTime,Conv_dt,StrongError,WeakError,Runtime
31,EM_Predictive,,1.0737388998206132,5124035.979999937,-0.21890256987096968,-0.2644113343280692,1325.4511351585388,1.5643905925396599e-07,1330.0,0.8|0.4|0.2|0.1|0.05,3337.4793656238157|2304.3474700088004|1889.3511400742477|2073.479016289947|2033.152066661832,4501.798483034319|1149.8976329443758|377.4485961649116|1353.4964317173017|3340.868349959892,0.5904152393341064|1.1654138565063477|2.3586061000823975|4.7051918506622314|9.430784225463867
19,EM_Predictive,,0.654981930676985,392130.5318476768,0.13595573691258112,0.07229838828959656,887.8730227947235,380.0596486342887,1050.0,0.8|0.4|0.2|0.1|0.05,19501.094108270205|17454.23664865873|18495.545889166136|14418.795294434765|14992.5138204439,3001.5381120520615|5425.698174884485|4950.422041998681|2208.954497840925|10801.51549125788,0.4676809310913086|0.9666831493377686|2.274250030517578|3.7322990894317627|7.922992706298828
43,EM_Predictive,,1.6023536634997733,107638833668.02147,-0.3340214803589665,-0.8228664867831266,684.3724842071533,728.5934513290089,812.0,0.8|0.4|0.2|0.1|0.05,406.0019480525127|383.13685501240855|286.5780053989264|307.29956226974366|290.3591996597597,0.018031584961743487|0.01277579146158514|0.942000982607924|0.011719993989102655|0.06658215747912609,0.36994099617004395|0.7284729480743408|1.436190128326416|2.881263017654419|5.826488971710205
54,EM_Predictive,,1.2183370704528818,45189.33456209868,-0.5183404731863201,-0.48436658322779924,382.20572090148926,60.50574368040155,539.0,0.8|0.4|0.2|0.1|0.05,899.8806785628914|855.8320912659772|804.8770464122322|881.3046403199918|872.9314823856795,1918.1753642208732|2733.1652665898637|464.3028395554211|1080.5255919434221|1147.0688369191066,0.24361705780029297|0.4826083183288574|0.9971871376037598|1.9497618675231934|3.8811519145965576
77,EM_Predictive,,0.8462587924477177,16458766466.33853,0.41518867777991764,0.5287025968341743,431.89942622184753,47.2707694173898,581.0,0.8|0.4|0.2|0.1|0.05,3712.3054926229024|3346.163026899267|3719.9195657145133|3717.7958985486302|3491.2653709034066,14.702670799661034|14.702481892477545|485.62706921722355|14.252116765751733|115.18173424419109,0.2591521739959717|0.5147621631622314|1.2087581157684326|2.0673508644104004|4.153613090515137
73,EM_Predictive,,1.3651184709370527,1049683.6947096698,0.4872203638015984,0.6067942796493182,2278.2299168109894,4.6110947219081195e-08,1694.0,0.8|0.4|0.2|0.1|0.05,16281.351393716903|10055.857598047753|5824.355423268831|5453.32909275561|5448.836748015201,15473.840242891309|11896.297250530337|7140.152765780256|778.240441427768|546.8873227353561,0.7490959167480469|1.565378189086914|3.1576530933380127|6.6612560749053955|12.528911828994751
72,EM_Predictive,,0.9924588722663854,965637.3858414564,-0.2730023258511951,-0.18278502570213728,574.6481459140778,206.265677776766,840.0,0.8|0.4|0.2|0.1|0.05,29485.444854666315|11784.55010160027|6060.890681514073|5734.397639470314|6572.06636163709,22081.92988532364|4215.852695070218|18471.21242450995|5805.445499410027|14911.261789284417,0.3768937587738037|0.7461779117584229|1.4846599102020264|3.0072169303894043|6.449875116348267
71,EM_Predictive,,0.9263226744630009,725770.3726229477,-0.0277734947685071,0.41582623280916575,265.1112608909607,0.003348710481078274,434.0,0.8|0.4|0.2|0.1|0.05,22132.74728229955|9210.122191269807|10920.886431036726|10527.142919386417|11526.495104598103,30954.151903128164|18742.978344845542|3439.878401225669|5046.833270040315|22525.609502227184,0.19093728065490723|0.3804299831390381|0.75496506690979|1.514430046081543|3.058345079421997
67,EM_Predictive,,1.0968510523293682,845141.4254284108,-0.02424085124104347,-0.00815397292923481,942.1647889614105,1726.851257493203,1169.0,0.8|0.4|0.2|0.1|0.05,6635.76323689577|7311.987867117866|7330.96189471041|6816.968071075246|7754.650566538363,488.2381271635022|5708.404810340864|4554.2065425538785|11188.316212170204|8669.174455819058,0.5502419471740723|1.167898178100586|2.1201939582824707|4.262746095657349|8.487982988357544
52,EM_Predictive,,0.8010326031880165,60239.14094968795,0.1794321213473008,0.6789747223821165,1994.5576131343842,2.2936200951882512e-08,1176.0,0.8|0.4|0.2|0.1|0.05,15321.782630790594|3290.33112152809|2483.493417234389|2549.596650220721|2462.233354331347,17737.805856137278|6373.979240739991|5874.833024988231|883.3152223291399|2878.7861674138258,0.5290732383728027|1.0527873039245605|2.140676736831665|4.125296115875244|8.336987257003784
